N,P,K,temperature,humidity,ph,rainfall,label,Medicine,Medicine_Use
32,141,204,8.825674745,82.89753705,5.536645599,67.235765,grapes,Copper Fungicide,treats bacterial and fungal diseases.
14.74387582,136.1302957,201.8246564,8.825925289,88.03352653,6.681857577,85.98580411,apple,Copper Fungicide,treats bacterial and fungal diseases.
90.56158305,48.1312815,141.4927917,8.827828246,30.10970724,5.501322404,291.7416131,chickpea,Foliar Fungicide (Mancozeb),prevents leaf spots and blights.
46.54677285,17.98170792,197.5726025,8.828479671,91.0319353,7.153059088,244.3633172,apple,Copper Fungicide,treats bacterial and fungal diseases.
129.4464373,29.25886819,13.02228487,8.828682615,55.44237777,3.588954237,175.0514925,coffee,Systemic Fungicide,Fungicide controls Coffee Leaf Rust.
139.2413305,137.4707448,178.2726797,8.831002977,81.57086528,4.519761626,240.9560315,rice,Fungicide (Azoxystrobin),"broad-spectrum fungicide controls rusts, bligh..."
9.529051416,118.0906456,116.3731977,8.837094923,74.10256084,7.787115608,47.2048866,grapes,Copper Fungicide,treats bacterial and fungal diseases.
44.76141478,124.5212591,181.8569161,8.837521992,45.10216522,5.3306243,69.16885159,grapes,Copper Fungicide,treats bacterial and fungal diseases.
108,111,10,8.84235,55.858792,9.887725,296.946094,coffee,Systemic Fungicide,Fungicide controls Coffee Leaf Rust.
33.859732,57.66433087,21.04284424,8.845206294,74.2254755,7.177389508,202.5005322,pigeonpeas,Foliar Fungicide (Mancozeb),prevents leaf spots and blights.
89.56217847,46.44172529,130.848547,8.852156518,89.71094862,8.245976506,67.47436174,chickpea,Foliar Fungicide (Mancozeb),prevents leaf spots and blights.
6.375980986,97.54389297,88.76755935,8.853598809,29.90976984,9.005292537,67.21374238,chickpea,Foliar Fungicide (Mancozeb),prevents leaf spots and blights.
7.521716238,133.5902675,18.96318497,8.855749129,45.44335535,9.789629249,54.11365646,lentil,Foliar Fungicide (Mancozeb),prevents leaf spots and blights.
99.47736645,16.11911901,189.2348766,8.861951646,76.99615257,6.982035813,65.02760531,chickpea,Foliar Fungicide (Mancozeb),prevents leaf spots and blights.
95.45717067,49.45397802,65.6463127,8.867131873,30.74826224,8.813548571,25.39211582,muskmelon,Bio-Pesticide (Neem Oil),controls pests and powdery mildew.
34.04754646,56.66970528,159.9847383,8.878379927,71.41500044,8.933393685,145.4860883,chickpea,Foliar Fungicide (Mancozeb),prevents leaf spots and blights.
60.70076773,33.02445122,100.944277,8.880992596,23.26038446,4.586952332,187.1788753,chickpea,Foliar Fungicide (Mancozeb),prevents leaf spots and blights.
77.21265903,125.7014834,86.76703795,8.882184979,28.59456795,8.534154373,30.69642883,grapes,Copper Fungicide,treats bacterial and fungal diseases.
94.74555263,51.45807635,118.7259978,8.88331169,50.44556152,5.192632102,226.7464773,chickpea,Foliar Fungicide (Mancozeb),prevents leaf spots and blights.
13.90997773,130.7384375,30.49945425,8.88665579,75.23666063,5.506873373,185.7874133,grapes,Copper Fungicide,treats bacterial and fungal diseases.
11.3746247,63.63895376,23.30287352,8.891048101,36.16701666,6.920857926,79.73510731,pigeonpeas,Foliar Fungicide (Mancozeb),prevents leaf spots and blights.
73.49731414,137.2844604,33.06334429,8.891467073,14.95922105,4.849397834,256.7003686,kidneybeans,Foliar Fungicide (Mancozeb),prevents leaf spots and blights.
51,65,109,8.896572,53.679271,5.935615,72.114903,chickpea,Foliar Fungicide (Mancozeb),prevents leaf spots and blights.
50.78718038,111.6128014,79.5940287,8.902597839,56.64306648,8.065604399,114.8582866,grapes,Copper Fungicide,treats bacterial and fungal diseases.
3.640820159,141.3349357,66.68296506,8.905275729,59.79762311,9.439518794,207.3596423,grapes,Copper Fungicide,treats bacterial and fungal diseases.
70.94501864,122.2252866,109.8164707,8.908430418,75.78828741,7.646195333,104.3050959,grapes,Copper Fungicide,treats bacterial and fungal diseases.
93.78463199,144.1387939,85.56123367,8.915598954,27.67734812,7.773705148,277.2757757,grapes,Copper Fungicide,treats bacterial and fungal diseases.
64.4673537,98.84240133,200.2879684,8.916094172,89.51339877,5.322181496,44.40501126,apple,Copper Fungicide,treats bacterial and fungal diseases.
10.40180384,117.4416876,33.53259423,8.917245478,61.77782121,8.334986017,82.70230988,grapes,Copper Fungicide,treats bacterial and fungal diseases.
32.07751813,50.13234113,119.4336625,8.924209479,73.23463122,7.710082246,86.61747636,chickpea,Foliar Fungicide (Mancozeb),prevents leaf spots and blights.
1.429384486,66.28240282,106.2138283,8.945299389,36.38335215,7.620376018,161.0785828,chickpea,Foliar Fungicide (Mancozeb),prevents leaf spots and blights.
91.40236848,7.673485132,177.8994605,8.946196502,39.89034799,5.346599796,93.33558379,chickpea,Foliar Fungicide (Mancozeb),prevents leaf spots and blights.
92.30574455,71.2638052,92.8366118,8.950418899,35.62322605,6.623922224,45.55112687,watermelon,Bio-Pesticide (Neem Oil),controls pests and powdery mildew.
46.76793576,110.1040625,48.9449432,8.951097121,57.26553126,3.742650915,120.8355116,banana,Bio-Pesticide (Neem Oil),Neem oil controls pests and powdery mildew.
71.31275086,119.9377157,8.061830397,8.960148218,65.1360539,6.160772419,298.0807461,maize,Fungicide (Azoxystrobin),"broad-spectrum fungicide controls rusts, blights, and leaf spots."
72.66726762,132.0126623,194.2360519,8.964792019,47.02976272,9.492658082,199.5072981,grapes,Copper Fungicide,treats bacterial and fungal diseases.
13.35210911,28.15711522,27.62468249,8.972863961,85.41995962,9.074592632,118.3312944,pomegranate,Copper Fungicide,Copper-based bactericide/fungicide treats blig...
11.75287463,77.7239244,126.6743431,8.974125112,27.62297224,9.837220472,268.1563479,chickpea,Foliar Fungicide (Mancozeb),prevents leaf spots and blights.
7.584508199,61.68487678,29.68383604,8.976374501,49.5117682,6.406928644,178.1042335,pigeonpeas,Foliar Fungicide (Mancozeb),prevents leaf spots and blights.
34.78628769,111.7208127,41.63772445,8.977298977,87.50843025,6.291733513,217.1330509,rice,Fungicide (Azoxystrobin),"broad-spectrum fungicide controls rusts, bligh..."
107.6869785,77.52739197,115.5428735,8.979466845,84.21510482,7.573774011,30.13558165,muskmelon,Bio-Pesticide (Neem Oil),controls pests and powdery mildew.
56.09340336,7.114140991,160.8944397,8.991484553,61.44106662,5.868421816,101.1735118,chickpea,Foliar Fungicide (Mancozeb),prevents leaf spots and blights.
97.04129391,42.86459558,6.415236924,8.994404321,35.34027401,7.105792392,139.9785561,maize,Fungicide (Azoxystrobin),"broad-spectrum fungicide controls rusts, blights, and leaf spots."
72.49409018,109.014713,49.33769938,8.996307732,38.42621145,6.346328803,61.88963776,maize,Fungicide (Azoxystrobin),"broad-spectrum fungicide controls rusts, blights, and leaf spots."
115.8340128,116.1181206,178.8758359,8.99866063,89.74354403,5.880126047,297.2427946,apple,Copper Fungicide,treats bacterial and fungal diseases.
97.40173548,68.70881237,152.5885366,8.999050975,61.63340945,5.32253663,139.2049105,chickpea,Foliar Fungicide (Mancozeb),prevents leaf spots and blights.
19.48009876,55.58161428,117.2364334,9.007800623,87.94325803,6.552001142,95.99328744,chickpea,Foliar Fungicide (Mancozeb),prevents leaf spots and blights.
87.6445434,85.78196058,34.93772806,9.013642967,17.14120676,4.014418856,237.9341379,kidneybeans,Foliar Fungicide (Mancozeb),prevents leaf spots and blights.
123.6752381,48.99166218,107.3078328,9.016995946,38.50120484,9.461691509,170.1923882,chickpea,Foliar Fungicide (Mancozeb),prevents leaf spots and blights.
87.42117537,104.6673323,100.0847152,9.018057668,62.0462919,6.973121594,239.5820108,banana,Bio-Pesticide (Neem Oil),Neem oil controls pests and powdery mildew.
87.53003832,141.6711705,56.11204419,9.021712053,69.3472472,6.85096877,223.1369861,coffee,Systemic Fungicide,Fungicide controls Coffee Leaf Rust.
139.9756128,82.96593611,27.47363077,9.025275072,17.15653174,8.155975374,234.0675804,kidneybeans,Foliar Fungicide (Mancozeb),prevents leaf spots and blights.
9.824840799,107.3152419,172.1952792,9.026116104,23.21091498,7.640518346,199.7986837,chickpea,Foliar Fungicide (Mancozeb),prevents leaf spots and blights.
94.10320533,39.73787243,103.38546,9.027354277,48.30345878,9.864187657,207.8082607,coffee,Systemic Fungicide,Fungicide controls Coffee Leaf Rust.
58.00302125,136.1205416,171.8472683,9.028719251,45.04269258,6.883915048,180.1492514,grapes,Copper Fungicide,treats bacterial and fungal diseases.
3.120374109,72.27578105,158.8282319,9.030910022,76.49568773,7.849083349,83.9138374,chickpea,Foliar Fungicide (Mancozeb),prevents leaf spots and blights.
81.806333,52.22501434,96.4408185,9.03507008,46.20298127,5.693417589,149.2065741,chickpea,Foliar Fungicide (Mancozeb),prevents leaf spots and blights.
128.0097917,63.73563702,62.89435777,9.038215702,33.86795238,6.351966258,160.6926299,coffee,Systemic Fungicide,Fungicide controls Coffee Leaf Rust.
58.88370505,133.9563237,18.4095783,9.039110243,98.51242382,4.4034268,95.16333755,coconut,Systemic Fungicide (Tridemorph),Fungicide for Phytophthora controls Mahali disease.
102.8676856,31.66717452,104.7514782,9.040071894,60.92045693,9.454235152,286.5592562,coffee,Systemic Fungicide,Fungicide controls Coffee Leaf Rust.
31.66057204,61.61142628,22.77045028,9.040126366,76.87793165,5.298799955,116.1455447,pigeonpeas,Foliar Fungicide (Mancozeb),prevents leaf spots and blights.
